user_id,activity_date,match_type,finish_position,bots,n_matches
258,2024-02-24,A,3,3,1
4860,2024-02-17,B,1,0,1
9894,2024-01-28,A,4,4,1
3166,2024-02-05,B,1,1,1
281,2024-01-01,C,1,1,1
9416,2023-12-01,C,3,3,1
5785,2023-12-17,C,3,3,1
3369,2024-01-14,C,3,3,1
2239,2023-12-24,C,2,0,1
7398,2023-12-29,A,2,2,1
6054,2024-02-07,C,3,3,1
9345,2023-12-09,C,4,0,1
3166,2024-01-10,C,3,3,1
7487,2024-02-08,C,4,4,1
8795,2024-01-19,C,1,1,1
2400,2023-12-04,A,1,1,1
6351,2024-01-18,C,4,0,1
4912,2023-12-03,C,1,0,1
4631,2024-01-02,A,1,1,1
6065,2024-01-01,C,2,2,1
5454,2024-02-10,A,3,3,1
5454,2024-02-10,A,4,4,1
864,2024-02-23,A,3,3,1
3801,2024-02-05,C,4,0,1
4860,2023-12-25,A,2,0,1
13285,2023-12-02,A,3,3,1
6351,2024-01-23,A,3,3,1
5652,2024-02-28,C,2,2,1
6410,2023-12-21,C,2,0,1
6065,2024-02-02,C,1,1,1
1115,2024-02-23,C,3,3,1
6526,2024-02-27,A,3,0,1
3505,2023-12-29,A,4,4,1
9012,2024-02-26,A,3,3,1
10584,2024-01-14,C,1,0,1
12572,2024-01-17,A,3,3,1
3447,2024-01-01,C,3,3,1
7752,2024-02-15,C,1,1,1
12073,2024-02-02,C,1,1,1
1288,2024-01-31,C,3,0,1
6969,2024-01-31,C,4,4,1
1285,2024-02-14,C,2,0,1
7632,2024-02-15,A,3,3,1
6351,2024-01-23,A,4,4,1
144,2023-12-22,C,3,3,1
1777,2024-01-07,A,4,4,1
8846,2024-02-11,A,1,1,1
12944,2024-01-17,A,2,2,1
8646,2023-12-25,A,1,1,1
2359,2023-12-07,C,1,1,1
2713,2024-01-24,C,3,3,1
2204,2024-02-03,A,2,2,1
5210,2024-02-22,A,4,4,1
9146,2024-01-09,C,3,3,1
5056,2024-01-08,C,1,1,1
4325,2023-12-11,C,1,1,2
1660,2024-01-28,A,4,4,1
4652,2023-12-20,B,4,4,2
10291,2024-01-28,C,3,3,1
5715,2024-02-19,A,1,1,1
12072,2023-12-20,C,3,3,1
6822,2024-01-06,A,1,1,1
6841,2024-01-19,C,2,0,1
16378,2024-01-31,C,1,1,1
9017,2024-02-28,A,3,3,1
4631,2024-01-14,A,1,1,1
6822,2023-12-31,A,4,4,1
341,2024-01-19,A,4,4,1
1545,2024-01-02,C,4,4,1
8843,2024-01-07,A,1,1,1
842,2023-12-04,A,,4,1
6273,2023-12-20,C,3,3,1
12269,2024-02-03,C,4,4,1
4631,2023-12-09,A,2,2,1
11869,2024-01-23,A,3,3,1
163,2024-02-14,C,4,4,1
5033,2023-12-29,A,3,0,1
7030,2024-02-02,C,1,1,1
9715,2024-02-10,C,4,4,1
10897,2024-01-13,C,2,2,1
14901,2024-01-14,C,1,1,1
6822,2023-12-03,C,1,1,1
12034,2024-01-26,C,2,2,1
5704,2024-01-13,C,4,4,1
8012,2023-12-07,C,2,2,1
12101,2023-12-11,C,3,0,1
1288,2023-12-26,A,1,1,1
4804,2023-12-05,C,2,0,1
8397,2024-02-06,A,1,0,1
842,2024-01-11,C,1,1,1
628,2024-01-24,C,2,2,1
2713,2023-12-28,A,3,3,1
2239,2023-12-02,C,1,1,1
5656,2024-02-24,C,4,0,1
11460,2023-12-24,C,1,1,1
237,2024-02-05,C,2,2,1
3929,2024-02-10,C,3,3,1
4838,2024-02-19,C,1,0,1
2914,2023-12-27,C,,4,1
7983,2024-01-06,C,1,1,2
7571,2024-02-21,A,3,3,1
10897,2024-02-25,C,1,0,1
9012,2024-02-05,A,1,1,1
11883,2024-01-01,C,1,1,1
6822,2023-12-01,A,1,1,2
8114,2023-12-08,C,4,0,1
6612,2024-02-03,A,1,1,1
12796,2023-12-08,A,3,3,2
842,2024-01-21,C,1,1,1
1288,2024-02-28,C,2,2,1
4274,2024-02-10,C,1,1,2
4325,2024-01-31,C,2,0,1
8300,2023-12-25,C,1,1,1
10997,2023-12-05,A,1,1,2
5652,2024-02-25,A,2,2,1
1009,2024-02-19,C,2,0,1
1026,2024-01-12,C,2,2,1
2239,2023-12-30,C,1,0,1
11460,2023-12-03,A,3,0,1
3644,2024-01-14,C,1,1,1
1389,2024-01-18,C,2,2,1
5704,2024-01-13,C,3,3,1
1022,2023-12-21,A,1,1,1
7030,2024-01-15,B,3,0,1
13168,2023-12-08,A,2,0,1
1218,2023-12-25,C,1,1,1
10897,2024-02-18,A,1,1,1
16495,2024-01-11,A,3,3,1
281,2024-01-04,B,4,4,1
1064,2024-02-07,A,2,2,1
8964,2024-02-15,C,3,3,1
6822,2024-02-09,C,1,1,6
3052,2024-02-11,A,2,0,1
12279,2024-02-16,C,2,2,1
2667,2024-01-24,A,2,2,1
1513,2024-01-14,C,3,0,1
9928,2023-12-18,A,3,3,1
2987,2023-12-09,C,1,1,1
14034,2024-01-26,C,1,0,1
8795,2023-12-16,A,2,2,1
6068,2024-02-22,A,1,1,1
281,2024-02-07,A,3,3,1
8646,2024-01-21,C,1,1,2
864,2024-02-05,A,4,4,1
6068,2024-02-04,C,3,0,1
281,2024-02-07,A,4,4,1
5454,2024-01-27,A,1,1,1
10434,2024-01-11,A,1,1,1
5571,2023-12-07,C,2,2,1
6417,2023-12-28,C,4,4,1
4083,2024-02-13,B,1,1,1
10897,2024-01-06,C,1,0,1
942,2024-02-24,A,2,2,1
6822,2023-12-09,C,3,3,1
12581,2024-02-14,C,2,0,1
1932,2024-01-30,A,3,0,1
10897,2024-01-09,A,2,2,1
10897,2024-01-17,C,2,2,1
1243,2024-02-22,A,2,2,1
281,2024-02-11,C,1,1,1
5454,2024-02-10,A,2,2,2
1174,2024-01-18,C,2,2,1
3161,2023-12-22,A,4,4,1
7298,2024-01-05,A,4,4,1
9324,2024-01-10,C,3,3,1
8554,2024-02-03,C,3,3,1
6410,2024-01-07,C,3,3,1
5618,2024-02-03,C,2,2,1
499,2023-12-16,C,2,2,1
3871,2023-12-20,A,3,3,1
8232,2023-12-16,C,1,1,1
6822,2023-12-28,C,3,3,1
842,2024-01-05,C,2,0,1
281,2024-01-05,A,3,3,1
6625,2024-02-05,C,2,2,1
10862,2023-12-04,C,1,1,1
13285,2024-01-15,C,1,1,1
6991,2023-12-22,C,2,2,1
16495,2024-02-25,A,4,4,1
3799,2023-12-31,C,4,4,1
6841,2024-01-16,C,1,1,1
1288,2024-01-11,A,2,2,1
12113,2024-01-25,A,2,0,1
10738,2024-02-18,C,2,0,1
13973,2024-02-06,C,1,1,1
6841,2024-02-26,A,1,0,1
2508,2024-02-10,C,1,1,1
10997,2024-02-23,C,1,1,2
14216,2024-02-25,A,4,4,1
3568,2024-01-28,C,2,2,1
7481,2024-01-12,A,2,2,1
5033,2024-01-17,A,4,0,1
6410,2023-12-28,C,3,3,2
9496,2024-02-11,A,1,1,1
3354,2023-12-21,A,,4,1
7750,2023-12-29,C,1,1,1
4836,2024-01-29,C,1,1,1
1389,2023-12-09,A,2,2,1
3972,2023-12-13,C,4,4,1
3875,2024-01-09,C,4,0,1
6625,2024-02-02,C,3,3,1
268,2024-01-30,C,4,4,1
6417,2024-02-02,C,3,3,1
6822,2023-12-02,C,3,3,2
2409,2023-12-02,C,4,4,1
2409,2023-12-09,C,3,3,1
6410,2023-12-28,C,4,4,1
6410,2023-12-03,C,1,1,1
10555,2024-02-19,B,4,0,1
8232,2023-12-16,A,2,2,1
6351,2024-02-27,B,1,1,2
3568,2024-01-23,C,2,2,1
1545,2023-12-03,C,2,2,1
15014,2024-01-31,C,,4,1
11327,2024-01-17,C,4,4,1
2400,2023-12-06,C,1,1,1
4860,2023-12-30,C,,4,1
10897,2024-02-02,C,1,1,2
864,2023-12-27,A,1,1,1
3644,2023-12-02,C,2,2,1
6841,2024-02-14,C,2,0,1
10897,2024-01-16,A,2,0,2
6822,2023-12-05,A,3,3,1
1192,2023-12-02,C,4,4,1
3166,2023-12-28,A,,4,1
4818,2023-12-01,A,1,1,1
11181,2024-02-02,A,3,3,1
1704,2023-12-04,A,2,2,1
1545,2023-12-11,C,3,3,1
6417,2024-02-10,A,1,1,1
6467,2023-12-03,B,1,1,1
13084,2024-02-05,C,1,1,1
9414,2024-02-20,C,1,1,1
11449,2024-01-06,C,3,3,1
10678,2024-02-02,C,4,4,1
6822,2024-01-10,C,1,0,1
4970,2023-12-11,C,4,4,1
842,2024-01-08,A,1,0,1
5853,2024-01-22,C,3,3,1
6173,2024-02-20,C,2,2,1
6822,2024-02-22,C,2,2,1
4325,2024-02-08,A,1,1,1
998,2024-02-29,C,2,0,1
12723,2023-12-18,A,4,4,1
10897,2023-12-05,A,1,1,1
6461,2024-02-29,C,3,3,1
1983,2024-01-21,A,3,3,1
4257,2024-02-03,A,2,0,1
3189,2023-12-28,A,2,2,1
7750,2024-02-10,C,1,1,1
5105,2023-12-08,C,2,2,1
3801,2024-01-20,A,1,1,1
6105,2024-02-20,C,1,1,1
1431,2024-02-07,C,1,0,1
12572,2023-12-28,C,4,4,1
6841,2023-12-31,A,4,4,1
12614,2024-02-10,A,1,1,1
3166,2024-02-08,C,1,1,2
1777,2024-01-01,A,4,4,1
2543,2023-12-23,A,4,4,1
6351,2024-02-04,C,3,3,3
4836,2024-02-11,A,2,2,1
3652,2024-01-17,A,1,1,1
7983,2024-01-12,B,4,4,1
12572,2024-02-02,C,4,4,1
2713,2024-01-12,B,2,2,1
12452,2023-12-06,A,3,3,1
416,2024-02-23,B,1,1,1
1959,2024-02-08,C,1,1,1
2400,2023-12-09,C,4,4,1
9139,2024-01-05,C,1,0,1
4818,2023-12-08,C,1,1,1
16495,2023-12-16,A,1,1,1
11150,2024-02-29,C,3,3,1
6435,2024-02-14,A,1,0,1
6771,2023-12-06,C,2,0,1
5472,2023-12-05,A,4,0,1
8998,2024-01-12,C,4,4,1
9414,2024-02-08,A,1,1,1
6731,2024-02-16,C,3,3,1
12614,2024-02-14,C,1,0,1
14993,2024-02-17,A,1,1,1
6297,2024-02-21,A,1,1,1
4772,2024-01-28,C,1,0,1
7130,2024-01-09,A,4,4,1
458,2024-02-20,C,2,0,1
4631,2023-12-30,C,2,2,1
15028,2023-12-08,B,3,3,1
12034,2024-02-03,C,2,2,1
2016,2024-02-13,C,1,0,1
10897,2024-01-18,C,1,1,1
9146,2023-12-25,C,3,0,1
8305,2024-01-09,C,1,1,1
6822,2023-12-07,C,1,1,3
6771,2024-02-20,C,4,0,1
3166,2023-12-03,C,4,4,1
1645,2024-01-04,A,4,4,1
10815,2024-02-20,C,3,0,1
439,2023-12-13,A,2,2,1
5652,2023-12-22,A,3,3,1
6351,2024-02-09,C,2,2,1
5715,2024-01-18,A,,4,1
7624,2024-02-12,C,3,3,1
6625,2024-02-03,C,2,2,2
