,user_id,platform,activity_date,acquisition_date
3145,12259,android,2024-02-19,2024-01-04
3146,12268,android,2024-01-23,2024-01-22
3148,12318,android,2024-02-20,2024-01-28
3152,12321,android,2024-01-08,2024-01-01
3153,12351,android,2024-01-14,2024-01-14
3159,12375,android,2024-02-18,2024-01-05
3161,12443,ios,2024-01-13,2024-01-12
3162,12510,android,2024-01-10,2024-01-10
3165,12566,ios,2024-01-23,2024-01-09
3166,12585,android,2024-01-06,2024-01-06
3167,12655,android,2024-01-28,2024-01-28
3168,12671,ios,2024-01-02,2024-01-02
3170,12693,ios,2024-01-24,2024-01-12
3172,12705,android,2024-01-15,2024-01-14
3177,12739,android,2024-03-01,2024-01-29
3178,12799,android,2024-02-06,2024-01-18
3181,12825,ios,2024-02-04,2024-01-11
3183,12881,android,2024-02-17,2024-01-14
3189,12909,android,2024-02-27,2024-01-21
3191,12923,android,2024-01-22,2024-01-20
3192,12934,android,2024-01-30,2024-01-30
3202,13011,android,2024-02-24,2024-01-07
3207,13036,android,2024-02-25,2024-01-06
3211,13164,android,2024-01-24,2024-01-18
3213,13254,android,2024-01-27,2024-01-26
3215,13342,ios,2024-01-15,2024-01-11
3216,13603,ios,2024-02-22,2024-01-18
3219,13656,android,2024-02-09,2024-01-13
3222,13659,android,2024-01-04,2024-01-02
3223,13705,android,2024-01-17,2024-01-17
3224,13773,android,2024-01-31,2024-01-31
3240,13802,android,2024-03-01,2024-01-12
3241,13929,android,2024-01-28,2024-01-27
3242,14013,android,2024-01-09,2024-01-09
3244,14023,android,2024-01-15,2024-01-13
3245,14027,android,2024-01-16,2024-01-16
3246,14204,ios,2024-02-27,2024-01-30
3247,14350,android,2024-01-24,2024-01-24
3253,14384,android,2024-02-13,2024-01-13
3279,14392,android,2024-02-24,2024-01-05
3281,14399,android,2024-02-06,2024-01-20
3282,14420,android,2024-01-20,2024-01-20
3307,14505,ios,2024-02-29,2024-01-20
3308,14534,android,2024-02-20,2024-01-21
3309,14707,android,2024-01-15,2024-01-09
3313,14718,android,2024-01-31,2024-01-26
3339,14830,android,2024-03-01,2024-01-27
3340,15121,ios,2024-01-09,2024-01-08
3341,15174,android,2024-02-14,2024-01-24
3345,15212,android,2024-01-31,2024-01-13
3358,15335,android,2024-03-01,2024-01-16
3359,15630,android,2024-01-12,2024-01-12
3360,16188,android,2024-01-31,2024-01-30
3361,16436,ios,2024-01-12,2024-01-12
3363,16680,android,2024-01-15,2024-01-04
3365,17559,ios,2024-02-17,2024-01-19
