,user_id,platform,activity_date,acquisition_date
641,2101,android,2024-01-16,2024-01-16
648,2123,android,2024-02-17,2024-01-27
649,2127,android,2024-01-13,2024-01-12
650,2145,android,2024-01-24,2024-01-24
651,2154,ios,2024-01-13,2024-01-13
652,2162,android,2024-01-11,2024-01-11
679,2192,android,2024-03-01,2024-01-24
680,2270,android,2024-01-22,2024-01-21
683,2276,android,2024-02-15,2024-01-15
684,2282,android,2024-01-05,2024-01-04
685,2308,android,2024-01-24,2024-01-22
691,2333,android,2024-02-03,2024-01-15
693,2337,android,2024-01-25,2024-01-24
694,2363,android,2024-02-03,2024-01-21
695,2365,android,2024-01-11,2024-01-11
699,2372,android,2024-02-15,2024-01-25
703,2380,android,2024-02-16,2024-01-29
704,2387,android,2024-01-21,2024-01-21
706,2435,android,2024-01-15,2024-01-14
707,2447,android,2024-01-22,2024-01-22
708,2449,android,2024-01-13,2024-01-13
709,2467,android,2024-01-01,2024-01-01
710,2471,ios,2024-02-10,2024-01-15
712,2472,ios,2024-02-08,2024-01-31
715,2477,android,2024-01-21,2024-01-18
718,2506,ios,2024-02-16,2024-01-29
719,2573,ios,2024-01-20,2024-01-20
720,2587,android,2024-01-03,2024-01-01
721,2596,ios,2024-01-05,2024-01-05
758,2614,android,2024-02-26,2024-01-01
760,2653,android,2024-01-28,2024-01-16
761,2660,android,2024-01-15,2024-01-15
762,2665,android,2024-01-08,2024-01-07
765,2673,android,2024-01-27,2024-01-24
766,2684,android,2024-01-17,2024-01-17
791,2692,android,2024-02-28,2024-01-03
792,2728,android,2024-02-10,2024-01-31
793,2748,ios,2024-01-17,2024-01-17
794,2770,android,2024-01-09,2024-01-08
795,2781,android,2024-01-04,2024-01-04
801,2788,android,2024-01-30,2024-01-04
802,2790,android,2024-01-20,2024-01-03
803,2803,android,2024-01-12,2024-01-12
804,2836,android,2024-01-14,2024-01-14
805,2852,android,2024-02-16,2024-01-16
806,2858,android,2024-01-27,2024-01-24
822,2896,android,2024-03-01,2024-01-01
867,2912,ios,2024-03-01,2024-01-17
868,2929,android,2024-01-29,2024-01-29
881,3002,ios,2024-02-27,2024-01-08
882,3003,android,2024-01-10,2024-01-10
904,3008,android,2024-02-29,2024-01-26
909,3011,android,2024-02-25,2024-01-17
911,3014,android,2024-02-09,2024-01-28
921,3038,android,2024-02-18,2024-01-23
933,3039,android,2024-02-16,2024-01-06
934,3046,android,2024-02-02,2024-01-26
935,3064,android,2024-01-24,2024-01-21
936,3113,android,2024-01-30,2024-01-29
942,3121,android,2024-02-29,2024-01-21
943,3141,android,2024-01-23,2024-01-23
944,3146,android,2024-01-21,2024-01-21
950,3155,android,2024-01-28,2024-01-16
951,3156,android,2024-01-06,2024-01-06
956,3172,android,2024-02-26,2024-01-03
984,3178,ios,2024-02-27,2024-01-08
986,3193,android,2024-01-24,2024-01-22
1000,3213,android,2024-02-10,2024-01-01
1004,3214,android,2024-02-26,2024-01-10
1005,3218,android,2024-01-22,2024-01-22
1007,3239,android,2024-01-31,2024-01-26
1020,3244,android,2024-02-11,2024-01-18
1021,3266,android,2024-02-05,2024-01-21
1022,3283,android,2024-01-15,2024-01-15
1030,3288,android,2024-02-24,2024-01-23
1041,3289,android,2024-02-24,2024-01-29
1042,3296,android,2024-01-16,2024-01-16
1043,3306,android,2024-01-29,2024-01-29
1044,3325,android,2024-01-14,2024-01-14
1045,3328,android,2024-02-02,2024-01-27
1051,3350,ios,2024-02-29,2024-01-10
1052,3361,android,2024-01-17,2024-01-14
1054,3375,ios,2024-01-20,2024-01-17
1061,3446,android,2024-01-18,2024-01-02
1062,3479,ios,2024-01-23,2024-01-23
1064,3481,android,2024-01-28,2024-01-25
1067,3517,android,2024-01-14,2024-01-04
1071,3537,android,2024-02-01,2024-01-18
1073,3540,android,2024-01-04,2024-01-02
1074,3547,ios,2024-01-30,2024-01-30
1075,3556,android,2024-01-18,2024-01-18
1081,3569,android,2024-02-17,2024-01-17
1083,3590,android,2024-01-20,2024-01-07
1084,3622,android,2024-01-19,2024-01-17
1085,3625,android,2024-02-28,2024-01-20
1087,3629,android,2024-02-07,2024-01-20
1098,3636,android,2024-02-08,2024-01-07
1100,3646,android,2024-02-20,2024-01-04
1101,3659,android,2024-01-30,2024-01-30
1106,3663,ios,2024-01-22,2024-01-13
1109,3670,android,2024-02-17,2024-01-21
